Source_File_Name,Ambient_Temperature_C,Voltage_V,Current_A,Cell_Temperature_C,Capacity_Ah,Cycle_Number,Step_Number,Energy_Wh,Count_#,Timestamp_Full,Status_Text,Program_Time_s_str,Step_Time_s_str,Cycle_Level_Text,Procedure_Text,unnamed_original_col
549_C20DisCh.csv,25.0,,,,,,,,,,,,,,,
549_C20DisCh.csv,25.0,4.17604,-0.15069,23.97615,-0.00254,0.0,22.0,-0.0106,13,10/26/2018 9:29:22 AM,DCH,29:20:19.688,00:01:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.17301,-0.15325,23.97615,-0.00507,0.0,22.0,-0.02116,13,10/26/2018 9:30:22 AM,DCH,29:21:19.688,00:02:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.17014,-0.15069,23.97615,-0.00761,0.0,22.0,-0.03176,13,10/26/2018 9:31:22 AM,DCH,29:22:19.688,00:03:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.16761,-0.15069,23.76583,-0.01014,0.0,22.0,-0.04232,13,10/26/2018 9:32:22 AM,DCH,29:23:19.685,00:03:59.999,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.16509,-0.15325,23.66067,-0.01268,0.0,22.0,-0.0529,13,10/26/2018 9:33:22 AM,DCH,29:24:19.688,00:05:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.16273,-0.15325,23.76583,-0.01522,0.0,22.0,-0.06348,13,10/26/2018 9:34:22 AM,DCH,29:25:19.688,00:06:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.16053,-0.15069,23.76583,-0.01775,0.0,22.0,-0.07402,13,10/26/2018 9:35:22 AM,DCH,29:26:19.688,00:07:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.15834,-0.15069,23.97615,-0.02029,0.0,22.0,-0.08455,13,10/26/2018 9:36:22 AM,DCH,29:27:19.688,00:08:00.002,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.15632,-0.15069,23.87099,-0.02281,0.0,22.0,-0.09506,13,10/26/2018 9:37:22 AM,DCH,29:28:19.686,00:09:00.000,0.0,LG_HG2_NN_Char,
549_C20DisCh.csv,25.0,4.1543,-0.15069,23.76583,-0.02535,0.0,22.0,-0.10561,13,10/26/2018 9:38:22 AM,DCH,29:29:19.686,00:10:00.000,0.0,LG_HG2_NN_Char,
